,player_num,player_name,team
0,1,l rnndez,Huesca
1,25,Vavro,Huesca
2,14,Pulido,Huesca
3,18,Siovas,Huesca
4,3,P Maffeo,Huesca
5,7,D Ferreiro,Huesca
6,20,Seoane,Huesca
7,17,M Rico,Huesca
8,11,J Galn,Huesca
9,9,R Mir,Huesca
10,6,S Ramirez,Huesca
11,10,Gómez,Huesca
12,5,P Mosquera,Huesca
13,23,D Escriche,Huesca
14,19,Lopez,Huesca
15,2,Doumbia,Huesca
16,1,U Simn,Athletic Club
17,18,D Marcos,Athletic Club
18,3,Núñez,Athletic Club
19,4,I rtnez,Athletic Club
20,24,Balenziaga,Athletic Club
21,7,I Gomez,Athletic Club
22,8,U Lpez,Athletic Club
23,6,M Vesga,Athletic Club
24,2,J Morcillo,Athletic Club
25,20,Villalibre,Athletic Club
26,16,O Sancet,Athletic Club
27,27,U Vencedor,Athletic Club
28,22,R rca,Athletic Club
29,12,A Berenguer,Athletic Club
30,9,I lliams,Athletic Club
