,player_num,player_name,team
0,1,l rnndez,Huesca
1,14,Pulido,Huesca
2,18,Siovas,Huesca
3,4,P Insa,Huesca
4,3,P Maffeo,Huesca
5,20,Seoane,Huesca
6,17,M Rico,Huesca
7,11,J Galn,Huesca
8,23,D Escriche,Huesca
9,7,D Ferreiro,Huesca
10,9,R Mir,Huesca
11,10,Gómez,Huesca
12,2,Doumbia,Huesca
13,21,J Carlos,Huesca
14,15,J Ontiveros,Huesca
15,12,Okazaki,Huesca
16,13,Ruben,Celta Vigo
17,2,H Mallo,Celta Vigo
18,18,Aidoo,Celta Vigo
19,24,Murillo,Celta Vigo
20,19,A Martn,Celta Vigo
21,23,B Mndez,Celta Vigo
22,8,F Beltran,Celta Vigo
23,9,Nolito,Celta Vigo
24,6,Suárez,Celta Vigo
25,22,S Mina,Celta Vigo
26,10,I Aspas,Celta Vigo
27,1,I llar,Celta Vigo
28,12,Ferreyra,Celta Vigo
29,4,Araujo,Celta Vigo
30,21,Solari,Celta Vigo
