,player_num,player_name,team
0,25,Fernández,Huesca
1,19,Lopez,Huesca
2,4,P Insa,Huesca
3,18,Siovas,Huesca
4,11,J Galn,Huesca
5,7,D Ferreiro,Huesca
6,5,P Mosquera,Huesca
7,17,M Rico,Huesca
8,24,B Garcia,Huesca
9,9,R Mir,Huesca
10,6,S Ramirez,Huesca
11,26,Nwakali,Huesca
12,2,Doumbia,Huesca
13,21,J Carlos,Huesca
14,10,Gómez,Huesca
15,15,J Ontiveros,Huesca
16,1,Dmitrović,Eibar
17,22,Pozo,Eibar
18,4,P Oliveira,Eibar
19,2,Burgos,Eibar
20,23,Arbilla,Eibar
21,6,Alvarez,Eibar
22,10,E Expsito,Eibar
23,24,Rodrigues,Eibar
24,14,Inui,Eibar
25,25,B Gil,Eibar
26,17,K Garca,Eibar
27,3,Bigas,Eibar
28,8,Diop,Eibar
29,21,P Len,Eibar
30,12,Muto,Eibar
