,player_num,player_name,team
0,1,l rnndez,Huesca
1,19,Lopez,Huesca
2,4,P Insa,Huesca
3,18,Siovas,Huesca
4,11,J Galn,Huesca
5,17,M Rico,Huesca
6,5,P Mosquera,Huesca
7,24,B Garcia,Huesca
8,7,D Ferreiro,Huesca
9,12,Okazaki,Huesca
10,15,J Ontiveros,Huesca
11,21,J Carlos,Huesca
12,2,Doumbia,Huesca
13,9,R Mir,Huesca
14,23,D Escriche,Huesca
15,10,Gómez,Huesca
16,13,A Fernndez,Levante
17,23,Coke,Levante
18,4,Rober,Levante
19,14,Rben Vezo,Levante
20,19,Clerc,Levante
21,16,Rochina,Levante
22,17,Vukčević,Levante
23,12,Malsa,Levante
24,18,D Frutos,Levante
25,9,Roger,Levante
26,22,Melero,Levante
27,2,Son,Levante
28,21,D Gmez,Levante
29,11,Morales,Levante
30,5,Radoja,Levante
31,7,S Len,Levante
