,player_num,player_name,team
0,13,Fernández,Huesca
1,25,Vavro,Huesca
2,14,Pulido,Huesca
3,18,Siovas,Huesca
4,3,P Maffeo,Huesca
5,7,D Ferreiro,Huesca
6,20,Seoane,Huesca
7,17,M Rico,Huesca
8,11,J Galn,Huesca
9,6,S Ramirez,Huesca
10,9,R Mir,Huesca
11,4,P Insa,Huesca
12,10,Gómez,Huesca
13,23,D Escriche,Huesca
14,25,J Prez,Osasuna
15,2,N Vidal,Osasuna
16,23,Aridane,Osasuna
17,5,D Garca,Osasuna
18,3,J Cruz,Osasuna
19,27,Moncayola,Osasuna
20,24,L Torr,Osasuna
21,8,Brašanac,Osasuna
22,11,K Barja,Osasuna
23,16,Calleri,Osasuna
24,7,Jony,Osasuna
25,39,M Snchez,Osasuna
26,10,R Torres,Osasuna
27,17,Budimir,Osasuna
28,14,R rca,Osasuna
29,28,J Martnez,Osasuna
