,player_num,player_name,team
0,1,l rnndez,Huesca
1,19,Lopez,Huesca
2,4,P Insa,Huesca
3,18,Siovas,Huesca
4,11,J Galn,Huesca
5,7,D Ferreiro,Huesca
6,17,M Rico,Huesca
7,5,P Mosquera,Huesca
8,15,J Ontiveros,Huesca
9,6,S Ramirez,Huesca
10,9,R Mir,Huesca
11,24,B Garcia,Huesca
12,12,Okazaki,Huesca
13,20,Seoane,Huesca
14,14,Pulido,Huesca
15,10,Gómez,Huesca
16,25,Bravo,Real Betis
17,22,E Royal,Real Betis
18,23,Mandi,Real Betis
19,6,V Ruiz,Real Betis
20,33,Miranda,Real Betis
21,4,Akouokou,Real Betis
22,10,Canales,Real Betis
23,20,Lainez,Real Betis
24,8,Fekir,Real Betis
25,24,A Ruibal,Real Betis
26,16,L Morn,Real Betis
27,12,Sidnei,Real Betis
28,19,Sanabria,Real Betis
29,28,Rodri,Real Betis
30,7,Juanmi,Real Betis
