,player_num,player_name,team
0,1,l rnndez,Huesca
1,25,Vavro,Huesca
2,14,Pulido,Huesca
3,18,Siovas,Huesca
4,3,P Maffeo,Huesca
5,7,D Ferreiro,Huesca
6,20,Seoane,Huesca
7,17,M Rico,Huesca
8,11,J Galn,Huesca
9,9,R Mir,Huesca
10,6,S Ramirez,Huesca
11,22,Silva,Huesca
12,5,P Mosquera,Huesca
13,10,Gómez,Huesca
14,19,Lopez,Huesca
15,2,Doumbia,Huesca
16,1,Remiro,Real Sociedad
17,18,A Gorosabel,Real Sociedad
18,6,Elustondo,Real Sociedad
19,24,L Normand,Real Sociedad
20,20,Monreal,Real Sociedad
21,16,A Guevara,Real Sociedad
22,36,Zubimendi,Real Sociedad
23,10,Oyarzabal,Real Sociedad
24,11,Januzaj,Real Sociedad
25,19,Isak,Real Sociedad
26,7,Portu,Real Sociedad
27,2,Zaldùa,Real Sociedad
28,21,Silva,Real Sociedad
29,25,J Bautista,Real Sociedad
30,22,A Barrenetxea,Real Sociedad
