,player_num,player_name,team
0,13,A Fernndez,Levante
1,23,Coke,Levante
2,6,Duarte,Levante
3,4,Rober,Levante
4,2,Son,Levante
5,16,Rochina,Levante
6,17,Vukčević,Levante
7,19,Clerc,Levante
8,18,D Frutos,Levante
9,11,Morales,Levante
10,9,Roger,Levante
11,20,Miramón,Levante
12,12,Malsa,Levante
13,3,Toño,Levante
14,21,D Gmez,Levante
15,7,S Len,Levante
16,1,U Simn,Athletic Club
17,21,Capa,Athletic Club
18,3,Núñez,Athletic Club
19,4,I rtnez,Athletic Club
20,24,Balenziaga,Athletic Club
21,12,A Berenguer,Athletic Club
22,6,M Vesga,Athletic Club
23,27,U Vencedor,Athletic Club
24,10,Muniain,Athletic Club
25,22,R rca,Athletic Club
26,9,I lliams,Athletic Club
27,15,Lekue,Athletic Club
28,19,O Zarraga,Athletic Club
29,2,J Morcillo,Athletic Club
30,18,D Marcos,Athletic Club
31,20,Villalibre,Athletic Club
