,player_num,player_name,team
0,13,A Fernndez,Levante
1,2,Son,Levante
2,6,Duarte,Levante
3,14,Rben Vezo,Levante
4,19,Clerc,Levante
5,16,Rochina,Levante
6,12,Malsa,Levante
7,22,Melero,Levante
8,10,Bardhi,Levante
9,21,D Gmez,Levante
10,11,Morales,Levante
11,24,Campaña,Levante
12,5,Radoja,Levante
13,18,D Frutos,Levante
14,7,S Len,Levante
15,1,Pacheco,Deportivo Alaves
16,21,Martín,Deportivo Alaves
17,5,Laguardia,Deportivo Alaves
18,4,R Ely,Deportivo Alaves
19,3,R arte,Deportivo Alaves
20,16,Edgar,Deportivo Alaves
21,6,Battaglia,Deportivo Alaves
22,8,Pina,Deportivo Alaves
23,11,L Rioja,Deportivo Alaves
24,9,Joselu,Deportivo Alaves
25,7,Lucas,Deportivo Alaves
26,19,M Garca,Deportivo Alaves
27,26,J Lpez,Deportivo Alaves
28,29,B Sainz,Deportivo Alaves
29,14,Deyverson,Deportivo Alaves
