,player_num,player_name,team
0,13,A Fernndez,Levante
1,2,Son,Levante
2,14,Rben Vezo,Levante
3,15,Postigo,Levante
4,19,Clerc,Levante
5,18,D Frutos,Levante
6,12,Malsa,Levante
7,24,Campaña,Levante
8,11,Morales,Levante
9,21,D Gmez,Levante
10,22,Melero,Levante
11,6,Duarte,Levante
12,7,S Len,Levante
13,9,Roger,Levante
14,5,Radoja,Levante
15,16,Rochina,Levante
16,13,E Badia,Elche CF
17,19,Barragán,Elche CF
18,5,G Verd,Elche CF
19,2,D Gonzlez,Elche CF
20,24,Josema,Elche CF
21,4,Marcone,Elche CF
22,17,Josán,Elche CF
23,14,R Guti,Elche CF
24,10,P Milla,Elche CF
25,11,T Morente,Elche CF
26,9,Boyé,Elche CF
27,6,Mfulu,Elche CF
28,21,Carrillo,Elche CF
