,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,6,Duarte,Levante
3,14,Rben Vezo,Levante
4,19,Clerc,Levante
5,16,Rochina,Levante
6,5,Radoja,Levante
7,22,Melero,Levante
8,11,Morales,Levante
9,9,Roger,Levante
10,7,S Len,Levante
11,15,Postigo,Levante
12,2,Son,Levante
13,18,D Frutos,Levante
14,21,D Gmez,Levante
15,10,Bardhi,Levante
16,1,R Silva,Granada CF
17,22,D Duarte,Granada CF
18,3,Pérez,Granada CF
19,20,Vallejo,Granada CF
20,2,Foulquier,Granada CF
21,8,Eteki,Granada CF
22,19,Montoro,Granada CF
23,18,Adrin Marn,Granada CF
24,24,Kenedy,Granada CF
25,23,J Molina,Granada CF
26,7,Suárez,Granada CF
27,6,G chez,Granada CF
28,14,F Vico,Granada CF
29,10,A Puertas,Granada CF
30,9,Soldado,Granada CF
31,11,Machís,Granada CF
