,player_num,player_name,team
0,13,A Fernndez,Levante
1,14,Rben Vezo,Levante
2,6,Duarte,Levante
3,4,Rober,Levante
4,2,Son,Levante
5,5,Radoja,Levante
6,16,Rochina,Levante
7,19,Clerc,Levante
8,18,D Frutos,Levante
9,11,Morales,Levante
10,9,Roger,Levante
11,12,Malsa,Levante
12,25,Doukouré,Levante
13,21,D Gmez,Levante
14,7,S Len,Levante
15,10,Bardhi,Levante
16,13,Fernández,Huesca
17,4,P Insa,Huesca
18,14,Pulido,Huesca
19,18,Siovas,Huesca
20,3,P Maffeo,Huesca
21,7,D Ferreiro,Huesca
22,5,P Mosquera,Huesca
23,20,Seoane,Huesca
24,11,J Galn,Huesca
25,9,R Mir,Huesca
26,6,S Ramirez,Huesca
27,25,Vavro,Huesca
28,17,M Rico,Huesca
29,2,Doumbia,Huesca
30,19,Lopez,Huesca
31,23,D Escriche,Huesca
