,player_num,player_name,team
0,25,J Prez,Osasuna
1,2,N Vidal,Osasuna
2,4,U Garca,Osasuna
3,5,D Garca,Osasuna
4,39,M Snchez,Osasuna
5,28,J Martnez,Osasuna
6,24,L Torr,Osasuna
7,6,Oier,Osasuna
8,14,R rca,Osasuna
9,9,Ávila,Osasuna
10,17,Budimir,Osasuna
11,3,J Cruz,Osasuna
12,10,R Torres,Osasuna
13,7,Jony,Osasuna
14,27,Moncayola,Osasuna
15,19,E Gallego,Osasuna
16,13,D Gil,Cadiz
17,15,Akapo,Cadiz
18,19,P Alcal,Cadiz
19,4,M Mauro,Cadiz
20,22,Espino,Cadiz
21,20,Iza,Cadiz
22,2,Jønsson,Cadiz
23,5,J Garrido,Cadiz
24,9,Lozano,Cadiz
25,12,Šaponjić,Cadiz
26,21,Sobrino,Cadiz
27,10,A Perea,Cadiz
28,11,Pombo,Cadiz
29,18,Negredo,Cadiz
30,25,J Izquierdo,Cadiz
