,player_num,player_name,team
0,13,Rubén,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,3,J Cruz,Osasuna
5,10,R Torres,Osasuna
6,27,Moncayola,Osasuna
7,6,Oier,Osasuna
8,14,R rca,Osasuna
9,16,Calleri,Osasuna
10,17,Budimir,Osasuna
11,1,S Herrera,Osasuna
12,7,Jony,Osasuna
13,11,K Barja,Osasuna
14,28,J Martnez,Osasuna
15,19,E Gallego,Osasuna
16,1,Pacheco,Deportivo Alaves
17,23,Ximo,Deportivo Alaves
18,5,Laguardia,Deportivo Alaves
19,22,Lejeune,Deportivo Alaves
20,3,R arte,Deportivo Alaves
21,16,Edgar,Deportivo Alaves
22,8,Pina,Deportivo Alaves
23,19,M Garca,Deportivo Alaves
24,11,L Rioja,Deportivo Alaves
25,9,Joselu,Deportivo Alaves
26,14,Deyverson,Deportivo Alaves
27,37,Tavares,Deportivo Alaves
28,29,B Sainz,Deportivo Alaves
29,7,Lucas,Deportivo Alaves
30,24,Jota,Deportivo Alaves
