,player_num,player_name,team
0,1,S Herrera,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,39,M Snchez,Osasuna
5,24,L Torr,Osasuna
6,11,K Barja,Osasuna
7,27,Moncayola,Osasuna
8,8,Brašanac,Osasuna
9,14,R rca,Osasuna
10,17,Budimir,Osasuna
11,12,Roncaglia,Osasuna
12,15,J malho,Osasuna
13,6,Oier,Osasuna
14,10,R Torres,Osasuna
15,9,Ávila,Osasuna
16,1,Gazzaniga,Elche CF
17,18,Palacios,Elche CF
18,12,D Calvo,Elche CF
19,2,D Gonzlez,Elche CF
20,25,Mojica,Elche CF
21,17,Josán,Elche CF
22,4,Marcone,Elche CF
23,14,R Guti,Elche CF
24,22,Rigoni,Elche CF
25,9,Boyé,Elche CF
26,10,P Milla,Elche CF
27,7,Nino,Elche CF
28,15,Luismi,Elche CF
29,20,Piatti,Elche CF
30,11,T Morente,Elche CF
31,8,V drguez,Elche CF
