,player_num,player_name,team
0,1,S Herrera,Osasuna
1,12,Roncaglia,Osasuna
2,4,U Garca,Osasuna
3,5,D Garca,Osasuna
4,39,M Snchez,Osasuna
5,6,Oier,Osasuna
6,24,L Torr,Osasuna
7,21,Pérez,Osasuna
8,11,K Barja,Osasuna
9,17,Budimir,Osasuna
10,7,Jony,Osasuna
11,3,J Cruz,Osasuna
12,27,Moncayola,Osasuna
13,16,Calleri,Osasuna
14,14,R rca,Osasuna
15,10,R Torres,Osasuna
16,1,R Silva,Granada CF
17,2,Foulquier,Granada CF
18,22,D Duarte,Granada CF
19,6,G chez,Granada CF
20,15,Neva,Granada CF
21,19,Montoro,Granada CF
22,20,Vallejo,Granada CF
23,24,Kenedy,Granada CF
24,5,L Milla,Granada CF
25,11,Machís,Granada CF
26,7,Suárez,Granada CF
27,9,Soldado,Granada CF
28,17,Quini,Granada CF
29,23,J Molina,Granada CF
30,14,F Vico,Granada CF
31,10,A Puertas,Granada CF
