,player_num,player_name,team
0,1,S Herrera,Osasuna
1,2,N Vidal,Osasuna
2,22,Navas,Osasuna
3,5,D Garca,Osasuna
4,3,J Cruz,Osasuna
5,10,R Torres,Osasuna
6,27,Moncayola,Osasuna
7,6,Oier,Osasuna
8,14,R rca,Osasuna
9,16,Calleri,Osasuna
10,20,Adrián,Osasuna
11,24,L Torr,Osasuna
12,7,Jony,Osasuna
13,21,Pérez,Osasuna
14,17,Cardona,Osasuna
15,19,E Gallego,Osasuna
16,13,A Fernndez,Levante
17,20,Miramón,Levante
18,15,Postigo,Levante
19,14,Rben Vezo,Levante
20,19,Clerc,Levante
21,24,Campaña,Levante
22,12,Malsa,Levante
23,17,Vukčević,Levante
24,10,Bardhi,Levante
25,22,Melero,Levante
26,11,Morales,Levante
27,5,Radoja,Levante
28,9,Roger,Levante
29,18,D Frutos,Levante
30,21,D Gmez,Levante
