,player_num,player_name,team
0,1,S Herrera,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,39,M Snchez,Osasuna
5,6,Oier,Osasuna
6,24,L Torr,Osasuna
7,27,Moncayola,Osasuna
8,11,K Barja,Osasuna
9,17,Budimir,Osasuna
10,14,R rca,Osasuna
11,21,Pérez,Osasuna
12,8,Brašanac,Osasuna
13,20,Adrián,Osasuna
14,16,Calleri,Osasuna
15,10,R Torres,Osasuna
16,13,Bounou,Sevilla
17,16,J Navas,Sevilla
18,12,Koundé,Sevilla
19,20,D Carlos,Sevilla
20,4,Rekik,Sevilla
21,8,J Jordn,Sevilla
22,25,Fernando,Sevilla
23,21,O Torres,Sevilla
24,7,Suso,Sevilla
25,9,d Jong,Sevilla
26,11,Munir,Sevilla
27,10,Rakitić,Sevilla
28,6,Gudelj,Sevilla
29,15,En-Nesyri,Sevilla
30,24,Gómez,Sevilla
31,17,Aleix,Sevilla
