,player_num,player_name,team
0,1,S Herrera,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,39,M Snchez,Osasuna
5,6,Oier,Osasuna
6,24,L Torr,Osasuna
7,28,J Martnez,Osasuna
8,10,R Torres,Osasuna
9,16,Calleri,Osasuna
10,20,Adrián,Osasuna
11,8,Brašanac,Osasuna
12,27,Moncayola,Osasuna
13,17,Budimir,Osasuna
14,14,R rca,Osasuna
15,9,Ávila,Osasuna
16,1,Doménech,Valencia
17,31,M Gutierrez,Valencia
18,12,Diakhaby,Valencia
19,5,G Paulista,Valencia
20,14,Gayá,Valencia
21,30,Musah,Valencia
22,18,Wass,Valencia
23,19,Račić,Valencia
24,17,Cheryshev,Valencia
25,9,Gameiro,Valencia
26,7,G edes,Valencia
27,23,Jason,Valencia
28,10,Oliva,Valencia
29,11,Cutrone,Valencia
30,20,Lee KI,Valencia
31,21,M Vallejo,Valencia
