,player_num,player_name,team
0,25,Bravo,Real Betis
1,22,E Royal,Real Betis
2,23,Mandi,Real Betis
3,5,Bartra,Real Betis
4,33,Miranda,Real Betis
5,21,Rodríguez,Real Betis
6,10,Canales,Real Betis
7,24,A Ruibal,Real Betis
8,8,Fekir,Real Betis
9,11,Tello,Real Betis
10,9,B Iglesias,Real Betis
11,4,Akouokou,Real Betis
12,16,L Morn,Real Betis
13,20,Lainez,Real Betis
14,18,Guardado,Real Betis
15,1,U Simn,Athletic Club
16,18,D Marcos,Athletic Club
17,3,Núñez,Athletic Club
18,24,Balenziaga,Athletic Club
19,15,Lekue,Athletic Club
20,12,A Berenguer,Athletic Club
21,27,U Vencedor,Athletic Club
22,6,M Vesga,Athletic Club
23,2,J Morcillo,Athletic Club
24,16,O Sancet,Athletic Club
25,20,Villalibre,Athletic Club
26,8,U Lpez,Athletic Club
27,7,I Gomez,Athletic Club
28,9,I lliams,Athletic Club
29,22,R rca,Athletic Club
