,player_num,player_name,team
0,1,Robles,Real Betis
1,22,E Royal,Real Betis
2,23,Mandi,Real Betis
3,6,V Ruiz,Real Betis
4,15,l reno,Real Betis
5,4,Akouokou,Real Betis
6,18,Guardado,Real Betis
7,24,A Ruibal,Real Betis
8,8,Fekir,Real Betis
9,7,Juanmi,Real Betis
10,9,B Iglesias,Real Betis
11,10,Canales,Real Betis
12,21,Rodríguez,Real Betis
13,16,L Morn,Real Betis
14,11,Tello,Real Betis
15,28,Rodri,Real Betis
16,1,t Stegen,Barcelona
17,28,Mingueza,Barcelona
18,4,Araújo,Barcelona
19,15,Lenglet,Barcelona
20,18,J Alba,Barcelona
21,8,Pjanić,Barcelona
22,5,Busquets,Barcelona
23,12,Puig,Barcelona
24,11,Dembèlé,Barcelona
25,7,Griezmann,Barcelona
26,9,Braithwaite,Barcelona
27,21,d Jong,Barcelona
28,23,Umtiti,Barcelona
29,10,Messi,Barcelona
30,17,Trincão,Barcelona
31,16,Pedri,Barcelona
