,player_num,player_name,team
0,1,Robles,Real Betis
1,22,E Royal,Real Betis
2,23,Mandi,Real Betis
3,6,V Ruiz,Real Betis
4,33,Miranda,Real Betis
5,21,Rodríguez,Real Betis
6,10,Canales,Real Betis
7,20,Lainez,Real Betis
8,8,Fekir,Real Betis
9,24,A Ruibal,Real Betis
10,16,L Morn,Real Betis
11,18,Guardado,Real Betis
12,9,B Iglesias,Real Betis
13,28,Rodri,Real Betis
14,15,l reno,Real Betis
15,13,Ruben,Celta Vigo
16,2,H Mallo,Celta Vigo
17,4,Araujo,Celta Vigo
18,24,Murillo,Celta Vigo
19,19,A Martn,Celta Vigo
20,14,Tapia,Celta Vigo
21,23,B Mndez,Celta Vigo
22,6,Suárez,Celta Vigo
23,9,Nolito,Celta Vigo
24,11,Mor,Celta Vigo
25,22,S Mina,Celta Vigo
26,18,Aidoo,Celta Vigo
27,27,Baeza,Celta Vigo
28,8,F Beltran,Celta Vigo
