,player_num,player_name,team
0,1,Robles,Real Betis
1,22,E Royal,Real Betis
2,23,Mandi,Real Betis
3,12,Sidnei,Real Betis
4,33,Miranda,Real Betis
5,21,Rodríguez,Real Betis
6,18,Guardado,Real Betis
7,24,A Ruibal,Real Betis
8,8,Fekir,Real Betis
9,10,Canales,Real Betis
10,7,Juanmi,Real Betis
11,4,Akouokou,Real Betis
12,9,B Iglesias,Real Betis
13,14,W Carvalho,Real Betis
14,11,Tello,Real Betis
15,17,Joaquín,Real Betis
16,1,Pacheco,Deportivo Alaves
17,23,Ximo,Deportivo Alaves
18,5,Laguardia,Deportivo Alaves
19,22,Lejeune,Deportivo Alaves
20,3,R arte,Deportivo Alaves
21,37,Pellistri,Deportivo Alaves
22,6,Battaglia,Deportivo Alaves
23,19,M Garca,Deportivo Alaves
24,11,L Rioja,Deportivo Alaves
25,9,Joselu,Deportivo Alaves
26,16,Edgar,Deportivo Alaves
27,8,Pina,Deportivo Alaves
28,17,Córdoba,Deportivo Alaves
29,20,P Pons,Deportivo Alaves
30,21,Martín,Deportivo Alaves
