,player_num,player_name,team
0,1,Robles,Real Betis
1,22,E Royal,Real Betis
2,5,Bartra,Real Betis
3,12,Sidnei,Real Betis
4,15,l reno,Real Betis
5,21,Rodríguez,Real Betis
6,18,Guardado,Real Betis
7,17,Joaquín,Real Betis
8,8,Fekir,Real Betis
9,11,Tello,Real Betis
10,19,Sanabria,Real Betis
11,2,Montoya,Real Betis
12,14,W Carvalho,Real Betis
13,9,B Iglesias,Real Betis
14,16,L Morn,Real Betis
15,20,Lainez,Real Betis
16,1,Dmitrović,Eibar
17,20,Rober,Eibar
18,2,Burgos,Eibar
19,3,Bigas,Eibar
20,23,Arbilla,Eibar
21,8,Diop,Eibar
22,10,E Expsito,Eibar
23,22,Pozo,Eibar
24,25,B Gil,Eibar
25,14,Inui,Eibar
26,12,Muto,Eibar
27,6,Alvarez,Eibar
28,9,Enrich,Eibar
