,player_num,player_name,team
0,25,Bravo,Real Betis
1,22,E Royal,Real Betis
2,5,Bartra,Real Betis
3,6,V Ruiz,Real Betis
4,33,Miranda,Real Betis
5,21,Rodríguez,Real Betis
6,10,Canales,Real Betis
7,17,Joaquín,Real Betis
8,8,Fekir,Real Betis
9,28,Rodri,Real Betis
10,9,B Iglesias,Real Betis
11,18,Guardado,Real Betis
12,16,L Morn,Real Betis
13,11,Tello,Real Betis
14,20,Lainez,Real Betis
15,1,l rnndez,Huesca
16,25,Vavro,Huesca
17,14,Pulido,Huesca
18,18,Siovas,Huesca
19,17,M Rico,Huesca
20,3,P Maffeo,Huesca
21,7,D Ferreiro,Huesca
22,20,Seoane,Huesca
23,11,J Galn,Huesca
24,6,S Ramirez,Huesca
25,9,R Mir,Huesca
26,5,P Mosquera,Huesca
27,22,Silva,Huesca
28,23,D Escriche,Huesca
29,10,Gómez,Huesca
30,19,Lopez,Huesca
