,player_num,player_name,team
0,25,Bravo,Real Betis
1,22,E Royal,Real Betis
2,23,Mandi,Real Betis
3,5,Bartra,Real Betis
4,15,l reno,Real Betis
5,21,Rodríguez,Real Betis
6,14,W Carvalho,Real Betis
7,8,Fekir,Real Betis
8,17,Joaquín,Real Betis
9,10,Canales,Real Betis
10,9,B Iglesias,Real Betis
11,4,Akouokou,Real Betis
12,7,Juanmi,Real Betis
13,11,Tello,Real Betis
14,19,Sanabria,Real Betis
15,13,Roberto,Real Valladolid
16,17,J Moyano,Real Valladolid
17,24,Joaquin,Real Valladolid
18,6,Bruno,Real Valladolid
19,22,Nacho,Real Valladolid
20,21,Míchel,Real Valladolid
21,20,Fede,Real Valladolid
22,10,O Plano,Real Valladolid
23,12,Orellana,Real Valladolid
24,23,W Rubio,Real Valladolid
25,7,S Guardiola,Real Valladolid
26,2,L Perez,Real Valladolid
27,5,J Snchez,Real Valladolid
28,8,K Prez,Real Valladolid
29,9,Weissman,Real Valladolid
30,11,Hervías,Real Valladolid
