,player_num,player_name,team
0,25,Bravo,Real Betis
1,22,E Royal,Real Betis
2,23,Mandi,Real Betis
3,6,V Ruiz,Real Betis
4,15,l reno,Real Betis
5,21,Rodríguez,Real Betis
6,10,Canales,Real Betis
7,17,Joaquín,Real Betis
8,8,Fekir,Real Betis
9,11,Tello,Real Betis
10,7,Juanmi,Real Betis
11,33,Miranda,Real Betis
12,14,W Carvalho,Real Betis
13,9,B Iglesias,Real Betis
14,24,A Ruibal,Real Betis
15,20,Lainez,Real Betis
16,1,Doménech,Valencia
17,2,T Correia,Valencia
18,12,Diakhaby,Valencia
19,15,Guillamón,Valencia
20,14,Gayá,Valencia
21,18,Wass,Valencia
22,8,Soler,Valencia
23,19,Račić,Valencia
24,17,Cheryshev,Valencia
25,9,Gameiro,Valencia
26,7,G edes,Valencia
27,30,Musah,Valencia
28,10,Oliva,Valencia
29,24,Piccini,Valencia
30,16,A Blanco,Valencia
31,11,Cutrone,Valencia
