,player_num,player_name,team
0,1,Robles,Real Betis
1,22,E Royal,Real Betis
2,5,Bartra,Real Betis
3,6,V Ruiz,Real Betis
4,15,l reno,Real Betis
5,14,W Carvalho,Real Betis
6,21,Rodríguez,Real Betis
7,24,A Ruibal,Real Betis
8,8,Fekir,Real Betis
9,18,Guardado,Real Betis
10,9,B Iglesias,Real Betis
11,33,Miranda,Real Betis
12,19,Sanabria,Real Betis
13,11,Tello,Real Betis
14,17,Joaquín,Real Betis
15,1,Asenjo,Villarreal
16,2,M Gaspar,Villarreal
17,3,Albiol,Villarreal
18,4,P Torres,Villarreal
19,15,Estupiñán,Villarreal
20,16,Kubo,Villarreal
21,5,Parejo,Villarreal
22,10,Iborra,Villarreal
23,14,Trigueros,Villarreal
24,7,G Moreno,Villarreal
25,34,N driguez,Villarreal
26,24,Pedraza,Villarreal
27,19,Coquelin,Villarreal
28,21,J Costa,Villarreal
29,11,Chukwueze,Villarreal
30,30,Pino,Villarreal
