,player_num,player_name,team
0,1,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,23,Mendy,Real Madrid
5,10,Modrić,Real Madrid
6,8,Kroos,Real Madrid
7,17,L Vzquez,Real Madrid
8,15,Valverde,Real Madrid
9,20,Vincius Jr,Real Madrid
10,9,Benzema,Real Madrid
11,27,Rodrygo,Real Madrid
12,22,Isco,Real Madrid
13,11,M Asensio,Real Madrid
14,1,U Simn,Athletic Club
15,21,Capa,Athletic Club
16,5,Yeray,Athletic Club
17,4,I rtnez,Athletic Club
18,17,Yuri,Athletic Club
19,14,D Garcia,Athletic Club
20,27,U Vencedor,Athletic Club
21,18,D Marcos,Athletic Club
22,22,R rca,Athletic Club
23,12,A Berenguer,Athletic Club
24,9,I lliams,Athletic Club
25,15,Lekue,Athletic Club
26,6,M Vesga,Athletic Club
27,20,Villalibre,Athletic Club
28,11,Córdoba,Athletic Club
29,10,Muniain,Athletic Club
