,player_num,player_name,team
0,1,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,23,Mendy,Real Madrid
5,15,Valverde,Real Madrid
6,14,Casemiro,Real Madrid
7,8,Kroos,Real Madrid
8,17,L Vzquez,Real Madrid
9,9,Benzema,Real Madrid
10,27,Rodrygo,Real Madrid
11,22,Isco,Real Madrid
12,20,Vincius Jr,Real Madrid
13,11,M Asensio,Real Madrid
14,1,R Silva,Granada CF
15,2,Foulquier,Granada CF
16,20,Vallejo,Granada CF
17,22,D Duarte,Granada CF
18,15,Neva,Granada CF
19,8,Eteki,Granada CF
20,10,A Puertas,Granada CF
21,21,Herrera,Granada CF
22,5,L Milla,Granada CF
23,24,Kenedy,Granada CF
24,9,Soldado,Granada CF
25,6,G chez,Granada CF
26,7,Suárez,Granada CF
27,17,Quini,Granada CF
28,26,Soro,Granada CF
29,23,J Molina,Granada CF
