,player_num,player_name,team
0,1,Courtois,Real Madrid
1,17,L Vzquez,Real Madrid
2,3,d lito,Real Madrid
3,4,Ramos,Real Madrid
4,12,Marcelo,Real Madrid
5,15,Valverde,Real Madrid
6,14,Casemiro,Real Madrid
7,10,Modrić,Real Madrid
8,11,M Asensio,Real Madrid
9,9,Benzema,Real Madrid
10,7,Hazard,Real Madrid
11,23,Mendy,Real Madrid
12,22,Isco,Real Madrid
13,8,Kroos,Real Madrid
14,27,Rodrygo,Real Madrid
15,20,Vincius Jr,Real Madrid
16,25,Fernández,Huesca
17,3,P Maffeo,Huesca
18,14,Pulido,Huesca
19,18,Siovas,Huesca
20,16,Luisinho,Huesca
21,10,Gómez,Huesca
22,26,Nwakali,Huesca
23,5,P Mosquera,Huesca
24,15,J Ontiveros,Huesca
25,9,R Mir,Huesca
26,24,B Garcia,Huesca
27,22,Silva,Huesca
28,6,S Ramirez,Huesca
29,11,J Galn,Huesca
30,7,D Ferreiro,Huesca
31,8,Eugeni,Huesca
