,player_num,player_name,team
0,1,Courtois,Real Madrid
1,19,l riozola,Real Madrid
2,3,d lito,Real Madrid
3,5,Varane,Real Madrid
4,12,Marcelo,Real Madrid
5,14,Casemiro,Real Madrid
6,31,Blanco,Real Madrid
7,11,M Asensio,Real Madrid
8,7,Hazard,Real Madrid
9,20,Vincius Jr,Real Madrid
10,9,Benzema,Real Madrid
11,6,Nacho,Real Madrid
12,35,Gutiérrez,Real Madrid
13,22,Isco,Real Madrid
14,25,Rodrygo,Real Madrid
15,30,S Arribas,Real Madrid
16,1,S Herrera,Osasuna
17,2,N Vidal,Osasuna
18,23,Aridane,Osasuna
19,5,D Garca,Osasuna
20,39,M Snchez,Osasuna
21,24,L Torr,Osasuna
22,10,R Torres,Osasuna
23,27,Moncayola,Osasuna
24,28,J Martnez,Osasuna
25,14,R rca,Osasuna
26,9,Ávila,Osasuna
27,7,Jony,Osasuna
28,8,Brašanac,Osasuna
29,20,Adrián,Osasuna
30,11,K Barja,Osasuna
31,17,Budimir,Osasuna
