,player_num,player_name,team
0,1,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,3,d lito,Real Madrid
4,6,Nacho,Real Madrid
5,10,Modrić,Real Madrid
6,14,Casemiro,Real Madrid
7,22,Isco,Real Madrid
8,25,Rodrygo,Real Madrid
9,9,Benzema,Real Madrid
10,11,M Asensio,Real Madrid
11,19,l riozola,Real Madrid
12,12,Marcelo,Real Madrid
13,31,Blanco,Real Madrid
14,7,Hazard,Real Madrid
15,20,Vincius Jr,Real Madrid
16,25,Bravo,Real Betis
17,22,E Royal,Real Betis
18,23,Mandi,Real Betis
19,6,V Ruiz,Real Betis
20,33,Miranda,Real Betis
21,21,Rodríguez,Real Betis
22,18,Guardado,Real Betis
23,20,Lainez,Real Betis
24,10,Canales,Real Betis
25,17,Joaquín,Real Betis
26,9,B Iglesias,Real Betis
27,14,W Carvalho,Real Betis
28,16,L Morn,Real Betis
29,24,A Ruibal,Real Betis
30,7,Juanmi,Real Betis
