,player_num,player_name,team
0,1,Courtois,Real Madrid
1,17,L Vzquez,Real Madrid
2,5,Varane,Real Madrid
3,6,Nacho,Real Madrid
4,23,Mendy,Real Madrid
5,10,Modrić,Real Madrid
6,14,Casemiro,Real Madrid
7,8,Kroos,Real Madrid
8,11,M Asensio,Real Madrid
9,24,Mariano,Real Madrid
10,22,Isco,Real Madrid
11,15,Valverde,Real Madrid
12,34,H Duro,Real Madrid
13,20,Vincius Jr,Real Madrid
14,25,Rodrygo,Real Madrid
15,1,Remiro,Real Sociedad
16,18,A Gorosabel,Real Sociedad
17,5,I Zubelda,Real Sociedad
18,24,L Normand,Real Sociedad
19,20,Monreal,Real Sociedad
20,16,A Guevara,Real Sociedad
21,36,Zubimendi,Real Sociedad
22,7,Portu,Real Sociedad
23,21,Silva,Real Sociedad
24,10,Oyarzabal,Real Sociedad
25,19,Isak,Real Sociedad
26,15,Sagnan,Real Sociedad
27,12,A Muoz,Real Sociedad
28,9,C Fernndez,Real Sociedad
29,22,A Barrenetxea,Real Sociedad
