,player_num,player_name,team
0,1,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,6,Nacho,Real Madrid
4,23,Mendy,Real Madrid
5,10,Modrić,Real Madrid
6,14,Casemiro,Real Madrid
7,8,Kroos,Real Madrid
8,11,M Asensio,Real Madrid
9,9,Benzema,Real Madrid
10,20,Vincius Jr,Real Madrid
11,17,L Vzquez,Real Madrid
12,22,Isco,Real Madrid
13,24,Mariano,Real Madrid
14,30,S Arribas,Real Madrid
15,1,Doménech,Valencia
16,2,T Correia,Valencia
17,5,G Paulista,Valencia
18,6,Ferro,Valencia
19,14,Gayá,Valencia
20,18,Wass,Valencia
21,19,Račić,Valencia
22,8,Soler,Valencia
23,7,G edes,Valencia
24,22,Gómez,Valencia
25,21,M Vallejo,Valencia
26,10,Oliva,Valencia
27,30,Musah,Valencia
28,20,Lee KI,Valencia
29,9,Gameiro,Valencia
30,11,Cutrone,Valencia
