,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,18,A Gorosabel,Real Sociedad
2,6,Elustondo,Real Sociedad
3,5,I Zubelda,Real Sociedad
4,20,Monreal,Real Sociedad
5,8,Merino,Real Sociedad
6,16,A Guevara,Real Sociedad
7,4,Illarra,Real Sociedad
8,11,Januzaj,Real Sociedad
9,19,Isak,Real Sociedad
10,10,Oyarzabal,Real Sociedad
11,15,Sagnan,Real Sociedad
12,21,Silva,Real Sociedad
13,9,C Fernndez,Real Sociedad
14,22,A Barrenetxea,Real Sociedad
15,17,Merquelanz,Real Sociedad
16,1,Ledesma,Cadiz
17,20,Iza,Cadiz
18,4,M Mauro,Cadiz
19,16,Cala,Cadiz
20,25,J Izquierdo,Cadiz
21,7,Salvi,Cadiz
22,2,Jønsson,Cadiz
23,3,Fali,Cadiz
24,10,A Perea,Cadiz
25,9,Lozano,Cadiz
26,18,Negredo,Cadiz
27,22,Espino,Cadiz
28,19,P Alcal,Cadiz
29,5,J Garrido,Cadiz
30,12,Šaponjić,Cadiz
31,21,Sobrino,Cadiz
