,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,18,A Gorosabel,Real Sociedad
2,6,Elustondo,Real Sociedad
3,24,L Normand,Real Sociedad
4,20,Monreal,Real Sociedad
5,16,A Guevara,Real Sociedad
6,14,Guridi,Real Sociedad
7,11,Januzaj,Real Sociedad
8,21,Silva,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,19,Isak,Real Sociedad
11,22,A Barrenetxea,Real Sociedad
12,36,Zubimendi,Real Sociedad
13,25,J Bautista,Real Sociedad
14,7,Portu,Real Sociedad
15,1,Gazzaniga,Elche CF
16,19,Barragán,Elche CF
17,5,G Verd,Elche CF
18,12,D Calvo,Elche CF
19,18,Palacios,Elche CF
20,17,Josán,Elche CF
21,6,Mfulu,Elche CF
22,14,R Guti,Elche CF
23,16,F Chaves,Elche CF
24,10,P Milla,Elche CF
25,9,Boyé,Elche CF
26,15,Luismi,Elche CF
27,4,Marcone,Elche CF
28,20,Piatti,Elche CF
29,21,Carrillo,Elche CF
30,22,Rigoni,Elche CF
