,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,2,Zaldùa,Real Sociedad
2,6,Elustondo,Real Sociedad
3,24,L Normand,Real Sociedad
4,20,Monreal,Real Sociedad
5,36,Zubimendi,Real Sociedad
6,11,Januzaj,Real Sociedad
7,21,Silva,Real Sociedad
8,8,Merino,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,9,W Jos,Real Sociedad
11,12,A Muoz,Real Sociedad
12,5,I Zubelda,Real Sociedad
13,14,Guridi,Real Sociedad
14,17,Merquelanz,Real Sociedad
15,7,Portu,Real Sociedad
16,41,Jiménez,Granada CF
17,42,Barcia,Granada CF
18,3,Pérez,Granada CF
19,28,P Snchez,Granada CF
20,24,Kenedy,Granada CF
21,8,Eteki,Granada CF
22,29,I Ruiz,Granada CF
23,7,Suárez,Granada CF
24,23,J Molina,Granada CF
25,11,Machís,Granada CF
26,9,Soldado,Granada CF
27,44,Fobi,Granada CF
28,37,Bravo,Granada CF
29,36,J Brunet,Granada CF
30,38,D Plomer,Granada CF
