,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,18,A Gorosabel,Real Sociedad
2,6,Elustondo,Real Sociedad
3,24,L Normand,Real Sociedad
4,12,A Muoz,Real Sociedad
5,36,Zubimendi,Real Sociedad
6,7,Portu,Real Sociedad
7,21,Silva,Real Sociedad
8,14,Guridi,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,9,W Jos,Real Sociedad
11,15,Sagnan,Real Sociedad
12,8,Merino,Real Sociedad
13,28,R Lpez,Real Sociedad
14,19,Isak,Real Sociedad
15,25,J Bautista,Real Sociedad
16,25,Fernández,Huesca
17,3,P Maffeo,Huesca
18,14,Pulido,Huesca
19,18,Siovas,Huesca
20,11,J Galn,Huesca
21,7,D Ferreiro,Huesca
22,20,Seoane,Huesca
23,5,P Mosquera,Huesca
24,24,B Garcia,Huesca
25,6,S Ramirez,Huesca
26,9,R Mir,Huesca
27,22,Silva,Huesca
28,15,J Ontiveros,Huesca
29,26,Nwakali,Huesca
30,10,Gómez,Huesca
31,23,D Escriche,Huesca
