,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,18,A Gorosabel,Real Sociedad
2,5,I Zubelda,Real Sociedad
3,24,L Normand,Real Sociedad
4,12,A Muoz,Real Sociedad
5,21,Silva,Real Sociedad
6,36,Zubimendi,Real Sociedad
7,8,Merino,Real Sociedad
8,11,Januzaj,Real Sociedad
9,19,Isak,Real Sociedad
10,10,Oyarzabal,Real Sociedad
11,14,Guridi,Real Sociedad
12,9,C Fernndez,Real Sociedad
13,22,A Barrenetxea,Real Sociedad
14,7,Portu,Real Sociedad
15,34,D Crdenas,Levante
16,2,Son,Levante
17,23,Coke,Levante
18,6,Duarte,Levante
19,14,Rben Vezo,Levante
20,3,Toño,Levante
21,16,Rochina,Levante
22,17,Vukčević,Levante
23,10,Bardhi,Levante
24,21,D Gmez,Levante
25,11,Morales,Levante
26,12,Malsa,Levante
27,19,Clerc,Levante
28,18,D Frutos,Levante
29,25,Doukouré,Levante
30,9,Roger,Levante
