,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,18,A Gorosabel,Real Sociedad
2,6,Elustondo,Real Sociedad
3,24,L Normand,Real Sociedad
4,12,A Muoz,Real Sociedad
5,7,Portu,Real Sociedad
6,16,A Guevara,Real Sociedad
7,8,Merino,Real Sociedad
8,22,A Barrenetxea,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,19,Isak,Real Sociedad
11,11,Januzaj,Real Sociedad
12,21,Silva,Real Sociedad
13,25,J Bautista,Real Sociedad
14,37,U Gonzlez,Real Sociedad
15,1,Courtois,Real Madrid
16,2,Carvajal,Real Madrid
17,5,Varane,Real Madrid
18,4,Ramos,Real Madrid
19,23,Mendy,Real Madrid
20,10,Modrić,Real Madrid
21,8,Kroos,Real Madrid
22,27,Rodrygo,Real Madrid
23,21,Ødegaard,Real Madrid
24,20,Vincius Jr,Real Madrid
25,9,Benzema,Real Madrid
26,14,Casemiro,Real Madrid
27,15,Valverde,Real Madrid
28,28,Marvin,Real Madrid
29,30,S Arribas,Real Madrid
