,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,18,Janko,Real Valladolid
2,4,Kiko,Real Valladolid
3,15,E Yamiq,Real Valladolid
4,25,Olaza,Real Valladolid
5,10,O Plano,Real Valladolid
6,17,R Mesa,Real Valladolid
7,20,Fede,Real Valladolid
8,19,T Villa,Real Valladolid
9,9,Weissman,Real Valladolid
10,16,M Andr,Real Valladolid
11,11,Hervías,Real Valladolid
12,8,K Prez,Real Valladolid
13,21,Míchel,Real Valladolid
14,40,Jota,Real Valladolid
15,7,S Guardiola,Real Valladolid
16,13,Oblak,Atletico Madrid
17,23,Trippier,Atletico Madrid
18,18,Felipe,Atletico Madrid
19,2,Gimenez,Atletico Madrid
20,22,Hermoso,Atletico Madrid
21,14,Llorente,Atletico Madrid
22,6,Koke,Atletico Madrid
23,8,Sal guez,Atletico Madrid
24,10,Correa,Atletico Madrid
25,9,Suárez,Atletico Madrid
26,21,Carrasco,Atletico Madrid
27,12,R Lodi,Atletico Madrid
28,7,Joo Flix,Atletico Madrid
29,4,Kondogbia,Atletico Madrid
30,16,Herrera,Atletico Madrid
