,player_num,player_name,team
0,13,Roberto,Real Valladolid
1,2,L Perez,Real Valladolid
2,24,Joaquin,Real Valladolid
3,15,E Yamiq,Real Valladolid
4,25,Olaza,Real Valladolid
5,10,O Plano,Real Valladolid
6,21,Míchel,Real Valladolid
7,14,R caraz,Real Valladolid
8,12,Orellana,Real Valladolid
9,9,Weissman,Real Valladolid
10,16,M Andr,Real Valladolid
11,7,S Guardiola,Real Valladolid
12,23,W Rubio,Real Valladolid
13,17,R Mesa,Real Valladolid
14,3,Kodro,Real Valladolid
15,1,Ledesma,Cadiz
16,15,Akapo,Cadiz
17,4,M Mauro,Cadiz
18,16,Cala,Cadiz
19,22,Espino,Cadiz
20,14,I ejo,Cadiz
21,17,Augusto,Cadiz
22,5,J Garrido,Cadiz
23,24,Malbašić,Cadiz
24,9,Lozano,Cadiz
25,11,Pombo,Cadiz
26,20,Iza,Cadiz
27,6,Jos Mari,Cadiz
28,3,Fali,Cadiz
29,18,Negredo,Cadiz
30,21,Sobrino,Cadiz
