,player_num,player_name,team
0,13,Roberto,Real Valladolid
1,18,Janko,Real Valladolid
2,24,Joaquin,Real Valladolid
3,15,E Yamiq,Real Valladolid
4,22,Nacho,Real Valladolid
5,12,Orellana,Real Valladolid
6,8,K Prez,Real Valladolid
7,14,R caraz,Real Valladolid
8,19,T Villa,Real Valladolid
9,9,Weissman,Real Valladolid
10,7,S Guardiola,Real Valladolid
11,2,L Perez,Real Valladolid
12,3,García,Real Valladolid
13,17,R Mesa,Real Valladolid
14,10,O Plano,Real Valladolid
15,16,M Andr,Real Valladolid
16,1,Pacheco,Deportivo Alaves
17,23,Ximo,Deportivo Alaves
18,5,Laguardia,Deportivo Alaves
19,22,Lejeune,Deportivo Alaves
20,3,R arte,Deportivo Alaves
21,16,Edgar,Deportivo Alaves
22,8,Pina,Deportivo Alaves
23,6,Battaglia,Deportivo Alaves
24,24,Jota,Deportivo Alaves
25,9,Joselu,Deportivo Alaves
26,7,Lucas,Deportivo Alaves
27,21,Martín,Deportivo Alaves
28,19,M Garca,Deportivo Alaves
29,29,B Sainz,Deportivo Alaves
30,14,Deyverson,Deportivo Alaves
