,player_num,player_name,team
0,13,Roberto,Real Valladolid
1,18,Janko,Real Valladolid
2,24,Joaquin,Real Valladolid
3,15,E Yamiq,Real Valladolid
4,25,Olaza,Real Valladolid
5,10,O Plano,Real Valladolid
6,17,R Mesa,Real Valladolid
7,14,R caraz,Real Valladolid
8,12,Orellana,Real Valladolid
9,9,Weissman,Real Valladolid
10,7,S Guardiola,Real Valladolid
11,20,Fede,Real Valladolid
12,21,Míchel,Real Valladolid
13,40,Jota,Real Valladolid
14,2,L Perez,Real Valladolid
15,3,Kodro,Real Valladolid
16,13,D Soria,Getafe
17,22,Suárez,Getafe
18,2,Djene,Getafe
19,3,Cabaco,Getafe
20,17,Olivera,Getafe
21,12,Nyom,Getafe
22,18,Arambarri,Getafe
23,20,Maksimović,Getafe
24,11,Aleñá,Getafe
25,10,Ünal,Getafe
26,7,J Mata,Getafe
27,5,Kubo,Getafe
28,9,Angel,Getafe
29,8,Portillo,Getafe
30,24,Timor,Getafe
31,23,Hernández,Getafe
