,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,18,Janko,Real Valladolid
2,24,Joaquin,Real Valladolid
3,6,Bruno,Real Valladolid
4,22,Nacho,Real Valladolid
5,12,Orellana,Real Valladolid
6,17,R Mesa,Real Valladolid
7,14,R caraz,Real Valladolid
8,10,O Plano,Real Valladolid
9,9,Weissman,Real Valladolid
10,16,M Andr,Real Valladolid
11,11,Hervías,Real Valladolid
12,20,Fede,Real Valladolid
13,8,K Prez,Real Valladolid
14,40,Jota,Real Valladolid
15,5,J Snchez,Real Valladolid
16,1,S Herrera,Osasuna
17,2,N Vidal,Osasuna
18,23,Aridane,Osasuna
19,5,D Garca,Osasuna
20,3,J Cruz,Osasuna
21,10,R Torres,Osasuna
22,27,Moncayola,Osasuna
23,6,Oier,Osasuna
24,14,R rca,Osasuna
25,16,Calleri,Osasuna
26,17,Budimir,Osasuna
27,19,E Gallego,Osasuna
28,8,Brašanac,Osasuna
29,21,Pérez,Osasuna
30,11,K Barja,Osasuna
