,player_num,player_name,team
0,13,Roberto,Real Valladolid
1,2,L Perez,Real Valladolid
2,5,J Snchez,Real Valladolid
3,15,E Yamiq,Real Valladolid
4,25,Olaza,Real Valladolid
5,24,Joaquin,Real Valladolid
6,10,O Plano,Real Valladolid
7,21,Míchel,Real Valladolid
8,17,R Mesa,Real Valladolid
9,12,Orellana,Real Valladolid
10,9,Weissman,Real Valladolid
11,4,Kiko,Real Valladolid
12,40,Jota,Real Valladolid
13,18,Janko,Real Valladolid
14,20,Fede,Real Valladolid
15,16,M Andr,Real Valladolid
16,25,Bravo,Real Betis
17,22,E Royal,Real Betis
18,23,Mandi,Real Betis
19,6,V Ruiz,Real Betis
20,33,Miranda,Real Betis
21,21,Rodríguez,Real Betis
22,18,Guardado,Real Betis
23,10,Canales,Real Betis
24,8,Fekir,Real Betis
25,24,A Ruibal,Real Betis
26,9,B Iglesias,Real Betis
27,17,Joaquín,Real Betis
28,16,L Morn,Real Betis
29,11,Tello,Real Betis
