,player_num,player_name,team
0,13,Bounou,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,20,D Carlos,Sevilla
4,18,Escudero,Sevilla
5,8,J Jordn,Sevilla
6,25,Fernando,Sevilla
7,24,Gómez,Sevilla
8,10,Rakitić,Sevilla
9,11,Munir,Sevilla
10,9,d Jong,Sevilla
11,4,Rekik,Sevilla
12,14,s drguez,Sevilla
13,21,O Torres,Sevilla
14,15,En-Nesyri,Sevilla
15,7,Suso,Sevilla
16,1,t Stegen,Barcelona
17,28,Mingueza,Barcelona
18,3,Piqué,Barcelona
19,15,Lenglet,Barcelona
20,2,Dest,Barcelona
21,5,Busquets,Barcelona
22,21,d Jong,Barcelona
23,18,J Alba,Barcelona
24,16,Pedri,Barcelona
25,10,Messi,Barcelona
26,11,Dembèlé,Barcelona
27,4,Araújo,Barcelona
28,23,Umtiti,Barcelona
29,27,I Moriba,Barcelona
30,9,Braithwaite,Barcelona
