,player_num,player_name,team
0,13,Bounou,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,3,S Gmez,Sevilla
4,19,Acuña,Sevilla
5,10,Rakitić,Sevilla
6,25,Fernando,Sevilla
7,21,O Torres,Sevilla
8,7,Suso,Sevilla
9,15,En-Nesyri,Sevilla
10,5,Ocampos,Sevilla
11,17,Aleix,Sevilla
12,6,Gudelj,Sevilla
13,23,Idrissi,Sevilla
14,8,J Jordn,Sevilla
15,11,Munir,Sevilla
16,1,Ledesma,Cadiz
17,20,Iza,Cadiz
18,19,P Alcal,Cadiz
19,16,Cala,Cadiz
20,27,M Bar,Cadiz
21,7,Salvi,Cadiz
22,2,Jønsson,Cadiz
23,3,Fali,Cadiz
24,8,Álex,Cadiz
25,18,Negredo,Cadiz
26,9,Lozano,Cadiz
27,25,J Izquierdo,Cadiz
28,24,Malbašić,Cadiz
29,10,A Perea,Cadiz
30,33,Nieto,Cadiz
31,5,J Garrido,Cadiz
