,player_num,player_name,team
0,13,Bounou,Sevilla
1,17,Aleix,Sevilla
2,3,S Gmez,Sevilla
3,20,D Carlos,Sevilla
4,4,Rekik,Sevilla
5,10,Rakitić,Sevilla
6,6,Gudelj,Sevilla
7,21,O Torres,Sevilla
8,11,Munir,Sevilla
9,9,d Jong,Sevilla
10,24,Gómez,Sevilla
11,12,Koundé,Sevilla
12,25,Fernando,Sevilla
13,8,J Jordn,Sevilla
14,15,En-Nesyri,Sevilla
15,7,Suso,Sevilla
16,1,l rnndez,Huesca
17,14,Pulido,Huesca
18,18,Siovas,Huesca
19,22,Silva,Huesca
20,3,P Maffeo,Huesca
21,17,M Rico,Huesca
22,2,Doumbia,Huesca
23,20,Seoane,Huesca
24,11,J Galn,Huesca
25,12,Okazaki,Huesca
26,9,R Mir,Huesca
27,4,P Insa,Huesca
28,10,Gómez,Huesca
29,21,J Carlos,Huesca
30,7,D Ferreiro,Huesca
31,23,D Escriche,Huesca
