,player_num,player_name,team
0,13,Bounou,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,20,D Carlos,Sevilla
4,19,Acuña,Sevilla
5,8,J Jordn,Sevilla
6,25,Fernando,Sevilla
7,21,O Torres,Sevilla
8,5,Ocampos,Sevilla
9,15,En-Nesyri,Sevilla
10,24,C Fernndez,Sevilla
11,18,Escudero,Sevilla
12,10,Rakitić,Sevilla
13,6,Gudelj,Sevilla
14,22,Vázquez,Sevilla
15,9,d Jong,Sevilla
16,1,S Herrera,Osasuna
17,12,Roncaglia,Osasuna
18,4,U Garca,Osasuna
19,5,D Garca,Osasuna
20,3,J Cruz,Osasuna
21,14,R rca,Osasuna
22,27,Moncayola,Osasuna
23,24,L Torr,Osasuna
24,7,Jony,Osasuna
25,17,Budimir,Osasuna
26,19,E Gallego,Osasuna
27,2,N Vidal,Osasuna
28,21,Pérez,Osasuna
29,6,Oier,Osasuna
30,10,R Torres,Osasuna
31,20,Adrián,Osasuna
