,player_num,player_name,team
0,13,Bounou,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,20,D Carlos,Sevilla
4,19,Acuña,Sevilla
5,8,J Jordn,Sevilla
6,25,Fernando,Sevilla
7,24,Gómez,Sevilla
8,7,Suso,Sevilla
9,15,En-Nesyri,Sevilla
10,5,Ocampos,Sevilla
11,6,Gudelj,Sevilla
12,10,Rakitić,Sevilla
13,9,d Jong,Sevilla
14,4,Rekik,Sevilla
15,21,O Torres,Sevilla
16,1,Robles,Real Betis
17,22,E Royal,Real Betis
18,23,Mandi,Real Betis
19,6,V Ruiz,Real Betis
20,33,Miranda,Real Betis
21,24,A Ruibal,Real Betis
22,21,Rodríguez,Real Betis
23,10,Canales,Real Betis
24,18,Guardado,Real Betis
25,8,Fekir,Real Betis
26,9,B Iglesias,Real Betis
27,15,l reno,Real Betis
28,14,W Carvalho,Real Betis
29,7,Juanmi,Real Betis
30,17,Joaquín,Real Betis
