,player_num,player_name,team
0,13,Bounou,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,20,D Carlos,Sevilla
4,19,Acuña,Sevilla
5,8,J Jordn,Sevilla
6,25,Fernando,Sevilla
7,10,Rakitić,Sevilla
8,7,Suso,Sevilla
9,15,En-Nesyri,Sevilla
10,5,Ocampos,Sevilla
11,17,Aleix,Sevilla
12,14,s drguez,Sevilla
13,9,d Jong,Sevilla
14,22,Vázquez,Sevilla
15,11,Munir,Sevilla
16,1,Remiro,Real Sociedad
17,18,A Gorosabel,Real Sociedad
18,5,I Zubelda,Real Sociedad
19,15,Sagnan,Real Sociedad
20,12,A Muoz,Real Sociedad
21,14,Guridi,Real Sociedad
22,36,Zubimendi,Real Sociedad
23,8,Merino,Real Sociedad
24,7,Portu,Real Sociedad
25,19,Isak,Real Sociedad
26,10,Oyarzabal,Real Sociedad
27,24,L Normand,Real Sociedad
28,22,A Barrenetxea,Real Sociedad
29,28,R Lpez,Real Sociedad
30,11,Januzaj,Real Sociedad
