,player_num,player_name,team
0,13,Bounou,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,20,D Carlos,Sevilla
4,19,Acuña,Sevilla
5,21,O Torres,Sevilla
6,25,Fernando,Sevilla
7,10,Rakitić,Sevilla
8,7,Suso,Sevilla
9,15,En-Nesyri,Sevilla
10,5,Ocampos,Sevilla
11,14,s drguez,Sevilla
12,8,J Jordn,Sevilla
13,9,d Jong,Sevilla
14,6,Gudelj,Sevilla
15,1,J Masip,Real Valladolid
16,11,Hervías,Real Valladolid
17,6,Bruno,Real Valladolid
18,15,E Yamiq,Real Valladolid
19,3,García,Real Valladolid
20,12,Orellana,Real Valladolid
21,17,R Mesa,Real Valladolid
22,20,Fede,Real Valladolid
23,10,O Plano,Real Valladolid
24,9,Weissman,Real Valladolid
25,16,M Andr,Real Valladolid
26,40,Jota,Real Valladolid
27,7,S Guardiola,Real Valladolid
28,21,Míchel,Real Valladolid
29,14,R caraz,Real Valladolid
30,19,T Villa,Real Valladolid
