,player_num,player_name,team
0,13,Bounou,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,20,D Carlos,Sevilla
4,18,Escudero,Sevilla
5,8,J Jordn,Sevilla
6,6,Gudelj,Sevilla
7,21,O Torres,Sevilla
8,7,Suso,Sevilla
9,15,En-Nesyri,Sevilla
10,14,s drguez,Sevilla
11,19,Acuña,Sevilla
12,25,Fernando,Sevilla
13,24,Gómez,Sevilla
14,5,Ocampos,Sevilla
15,10,Rakitić,Sevilla
16,13,Cillessen,Valencia
17,2,T Correia,Valencia
18,5,G Paulista,Valencia
19,15,Guillamón,Valencia
20,6,Ferro,Valencia
21,3,T Lato,Valencia
22,21,M Vallejo,Valencia
23,8,Soler,Valencia
24,19,Račić,Valencia
25,7,G edes,Valencia
26,22,Gómez,Valencia
27,9,Gameiro,Valencia
28,14,Gayá,Valencia
29,24,Piccini,Valencia
30,17,Cheryshev,Valencia
31,30,Musah,Valencia
