,player_num,player_name,team
0,13,Cillessen,Valencia
1,2,T Correia,Valencia
2,5,G Paulista,Valencia
3,15,Guillamón,Valencia
4,14,Gayá,Valencia
5,18,Wass,Valencia
6,19,Račić,Valencia
7,8,Soler,Valencia
8,16,A Blanco,Valencia
9,22,Gómez,Valencia
10,20,Lee KI,Valencia
11,21,M Vallejo,Valencia
12,9,Gameiro,Valencia
13,6,Ferro,Valencia
14,13,Ruben,Celta Vigo
15,2,H Mallo,Celta Vigo
16,4,Araujo,Celta Vigo
17,24,Murillo,Celta Vigo
18,19,A Martn,Celta Vigo
19,14,Tapia,Celta Vigo
20,21,Solari,Celta Vigo
21,6,Suárez,Celta Vigo
22,9,Nolito,Celta Vigo
23,12,Ferreyra,Celta Vigo
24,22,S Mina,Celta Vigo
25,8,F Beltran,Celta Vigo
26,18,Aidoo,Celta Vigo
27,1,I llar,Celta Vigo
