,player_num,player_name,team
0,1,Doménech,Valencia
1,18,Wass,Valencia
2,5,G Paulista,Valencia
3,15,Guillamón,Valencia
4,14,Gayá,Valencia
5,30,Musah,Valencia
6,8,Soler,Valencia
7,19,Račić,Valencia
8,17,Cheryshev,Valencia
9,20,Lee KI,Valencia
10,22,Gómez,Valencia
11,3,T Lato,Valencia
12,23,Jason,Valencia
13,11,Sobrino,Valencia
14,9,Gameiro,Valencia
15,1,Courtois,Real Madrid
16,17,L Vzquez,Real Madrid
17,5,Varane,Real Madrid
18,4,Ramos,Real Madrid
19,12,Marcelo,Real Madrid
20,15,Valverde,Real Madrid
21,10,Modrić,Real Madrid
22,11,M Asensio,Real Madrid
23,22,Isco,Real Madrid
24,20,Vincius Jr,Real Madrid
25,9,Benzema,Real Madrid
26,8,Kroos,Real Madrid
27,27,Rodrygo,Real Madrid
28,18,Jović,Real Madrid
29,21,Ødegaard,Real Madrid
30,24,Mariano,Real Madrid
