,player_num,player_name,team
0,13,Cillessen,Valencia
1,5,G Paulista,Valencia
2,15,Guillamón,Valencia
3,12,Diakhaby,Valencia
4,2,T Correia,Valencia
5,8,Soler,Valencia
6,18,Wass,Valencia
7,14,Gayá,Valencia
8,20,Lee KI,Valencia
9,7,G edes,Valencia
10,22,Gómez,Valencia
11,10,Oliva,Valencia
12,23,Jason,Valencia
13,9,Gameiro,Valencia
14,17,Cheryshev,Valencia
15,19,Račić,Valencia
16,1,J Masip,Real Valladolid
17,18,Janko,Real Valladolid
18,5,J Snchez,Real Valladolid
19,15,E Yamiq,Real Valladolid
20,25,Olaza,Real Valladolid
21,21,Míchel,Real Valladolid
22,14,R caraz,Real Valladolid
23,17,R Mesa,Real Valladolid
24,10,O Plano,Real Valladolid
25,9,Weissman,Real Valladolid
26,40,Jota,Real Valladolid
27,4,Kiko,Real Valladolid
28,3,Kodro,Real Valladolid
29,11,Hervías,Real Valladolid
30,8,K Prez,Real Valladolid
31,16,M Andr,Real Valladolid
