,player_num,player_name,team
0,1,Asenjo,Villarreal
1,20,R Pea,Villarreal
2,3,Albiol,Villarreal
3,6,F Mori,Villarreal
4,15,Estupiñán,Villarreal
5,14,Trigueros,Villarreal
6,25,Capoue,Villarreal
7,5,Parejo,Villarreal
8,30,Pino,Villarreal
9,34,N driguez,Villarreal
10,23,M Gmez,Villarreal
11,18,A Moreno,Villarreal
12,19,Coquelin,Villarreal
13,12,D Raba,Villarreal
14,17,Alcácer,Villarreal
15,7,G Moreno,Villarreal
16,1,I llar,Celta Vigo
17,2,H Mallo,Celta Vigo
18,4,Araujo,Celta Vigo
19,40,Domínguez,Celta Vigo
20,19,A Martn,Celta Vigo
21,21,Solari,Celta Vigo
22,8,F Beltran,Celta Vigo
23,6,Suárez,Celta Vigo
24,9,Nolito,Celta Vigo
25,23,B Mndez,Celta Vigo
26,22,S Mina,Celta Vigo
27,18,Aidoo,Celta Vigo
28,39,Holsgrove,Celta Vigo
29,20,Kevin,Celta Vigo
30,12,Ferreyra,Celta Vigo
