,player_num,player_name,team
0,1,Asenjo,Villarreal
1,2,M Gaspar,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,24,Pedraza,Villarreal
5,11,Chukwueze,Villarreal
6,5,Parejo,Villarreal
7,19,Coquelin,Villarreal
8,23,M Gmez,Villarreal
9,7,G Moreno,Villarreal
10,17,Alcácer,Villarreal
11,10,Iborra,Villarreal
12,14,Trigueros,Villarreal
13,15,Estupiñán,Villarreal
14,16,Kubo,Villarreal
15,22,Chakla,Villarreal
16,1,Dmitrović,Eibar
17,20,Rober,Eibar
18,4,P Oliveira,Eibar
19,3,Bigas,Eibar
20,11,R Soares,Eibar
21,18,Recio,Eibar
22,6,Alvarez,Eibar
23,10,E Expsito,Eibar
24,21,P Len,Eibar
25,17,K Garca,Eibar
26,14,Inui,Eibar
27,7,Q Gonzlez,Eibar
28,9,Enrich,Eibar
29,19,Kadzior,Eibar
30,24,Rodrigues,Eibar
31,33,M Atienza,Eibar
