,player_num,player_name,team
0,1,Asenjo,Villarreal
1,8,Foyth,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,24,Pedraza,Villarreal
5,14,Trigueros,Villarreal
6,25,Capoue,Villarreal
7,5,Parejo,Villarreal
8,20,R Pea,Villarreal
9,34,N driguez,Villarreal
10,23,M Gmez,Villarreal
11,19,Coquelin,Villarreal
12,30,Pino,Villarreal
13,9,Bacca,Villarreal
14,17,Alcácer,Villarreal
15,1,R Silva,Granada CF
16,2,Foulquier,Granada CF
17,22,D Duarte,Granada CF
18,6,G chez,Granada CF
19,15,Neva,Granada CF
20,5,L Milla,Granada CF
21,11,Machís,Granada CF
22,19,Montoro,Granada CF
23,21,Herrera,Granada CF
24,7,Suárez,Granada CF
25,9,Soldado,Granada CF
26,20,Vallejo,Granada CF
27,8,Eteki,Granada CF
28,24,Kenedy,Granada CF
29,10,A Puertas,Granada CF
30,23,J Molina,Granada CF
