,player_num,player_name,team
0,1,Asenjo,Villarreal
1,20,R Pea,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,24,Pedraza,Villarreal
5,32,Baena,Villarreal
6,8,Foyth,Villarreal
7,5,Parejo,Villarreal
8,7,G Moreno,Villarreal
9,17,Alcácer,Villarreal
10,23,M Gmez,Villarreal
11,15,Estupiñán,Villarreal
12,34,N driguez,Villarreal
13,12,D Raba,Villarreal
14,9,Bacca,Villarreal
15,21,J Costa,Villarreal
16,1,Robles,Real Betis
17,22,E Royal,Real Betis
18,23,Mandi,Real Betis
19,6,V Ruiz,Real Betis
20,33,Miranda,Real Betis
21,21,Rodríguez,Real Betis
22,18,Guardado,Real Betis
23,24,A Ruibal,Real Betis
24,8,Fekir,Real Betis
25,10,Canales,Real Betis
26,16,L Morn,Real Betis
27,12,Sidnei,Real Betis
28,14,W Carvalho,Real Betis
29,2,Montoya,Real Betis
