,player_num,player_name,team
0,1,Asenjo,Villarreal
1,2,M Gaspar,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,24,Pedraza,Villarreal
5,14,Trigueros,Villarreal
6,10,Iborra,Villarreal
7,5,Parejo,Villarreal
8,23,M Gmez,Villarreal
9,7,G Moreno,Villarreal
10,9,Bacca,Villarreal
11,30,Pino,Villarreal
12,20,R Pea,Villarreal
13,16,Kubo,Villarreal
14,15,Estupiñán,Villarreal
15,11,Chukwueze,Villarreal
16,1,Courtois,Real Madrid
17,2,Carvajal,Real Madrid
18,5,Varane,Real Madrid
19,6,Nacho,Real Madrid
20,23,Mendy,Real Madrid
21,10,Modrić,Real Madrid
22,8,Kroos,Real Madrid
23,17,L Vzquez,Real Madrid
24,21,Ødegaard,Real Madrid
25,7,Hazard,Real Madrid
26,24,Mariano,Real Madrid
27,22,Isco,Real Madrid
28,20,Vincius Jr,Real Madrid
29,11,M Asensio,Real Madrid
