,player_num,player_name,team
0,1,Asenjo,Villarreal
1,20,R Pea,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,24,Pedraza,Villarreal
5,19,Coquelin,Villarreal
6,25,Capoue,Villarreal
7,5,Parejo,Villarreal
8,14,Trigueros,Villarreal
9,17,Alcácer,Villarreal
10,23,M Gmez,Villarreal
11,15,Estupiñán,Villarreal
12,34,N driguez,Villarreal
13,1,Remiro,Real Sociedad
14,2,Zaldùa,Real Sociedad
15,6,Elustondo,Real Sociedad
16,24,L Normand,Real Sociedad
17,20,Monreal,Real Sociedad
18,8,Merino,Real Sociedad
19,4,Illarra,Real Sociedad
20,16,A Guevara,Real Sociedad
21,7,Portu,Real Sociedad
22,19,Isak,Real Sociedad
23,10,Oyarzabal,Real Sociedad
24,11,Januzaj,Real Sociedad
25,18,A Gorosabel,Real Sociedad
26,36,Zubimendi,Real Sociedad
27,14,Guridi,Real Sociedad
28,9,C Fernndez,Real Sociedad
